parent_phrase,parent_exact_count,total_group_admissions,n_unique_child_complaints,n_MHH1_psychotic,n_MHC0,pct_MHH1_psychotic,example_child_complaints,most_frequent_child_complaints,suggested_manual_label,include_for_workup_analysis,reviewer_notes
abdominal pain,371,710,203,349,361,49.15492957746479,1 increased abdominal pain 2 multiple episodes non-bloody/non-bilious emesis 3 hematemesis 4 leukocytosis | abdominal pain | abdominal pain / coffee ground emesis | abdominal pain / distension | abdominal pain a/w diarrhea acute renal failure | abdominal pain abnormal labs tachycardia | abdominal pain after colonoscopy | abdominal pain and bleeding per rectum x 3days | abdominal pain and bloating decrease appetite | abdominal pain and bloody stools | abdominal pain and bright red blood per rectum | abdominal pain and bright red blood per rectum in crohn s patient | abdominal pain and chest pain | abdominal pain and confusion | abdominal pain and diarrhea | abdominal pain and distension | abdominal pain and distention | abdominal pain and erythema | abdominal pain and fever | abdominal pain and hypotension,abdominal pain (371) | nausea vomiting abdominal pain (22) | abdominal pain nausea vomiting (17) | abdominal pain diarrhea (11) | abdominal pain nausea (10) | abdominal pain fever (9) | abdominal pain chest pain (6) | abdominal pain constipation (5) | chest pain abdominal pain (5) | abdominal pain nausea and vomiting (4) | nausea abdominal pain (4) | abdominal pain and nausea (4) | abdominal pain and distension (4) | fevers abdominal pain (4) | nausea vomiting diarrhea abdominal pain (4) | nausea vomiting and abdominal pain (3) | abdominal pain and diarrhea (3) | chest and abdominal pain (3) | fever abdominal pain (3) | abdominal pain dyspnea (3),,,
shortness of breath,364,587,128,290,297,49.40374787052811,abdominal pain and shortness of breath | abdominal pain shortness of breath | altered mental status cough shortness of breath | altered mental status shortness of breath | anemia shortness of breath | bilateral pain shortness of breath known dvt | chest pain and shortness of breath | chest pain cough weakness and shortness of breath | chest pain shortness of breath | chest pain shortness of breath hemoptysis | chest pain shortness of breath hypoxia | cough and shortness of breath | cough and shortness of breath for several days | cough shortness of breath | cough shortness of breath back pain fevers | cough shortness of breath chest pressure | cough shortness of breath fever | cough shortness of breath fevers | cough shortness of breath fevers hypoxia | cough shortness of breath hypoxia,shortness of breath (364) | shortness of breath chest pain (14) | chest pain shortness of breath (12) | shortness of breath hypoxia (9) | shortness of breath cough (7) | cough and shortness of breath (7) | shortness of breath and chest pain (5) | shortness of breath weight gain (5) | worsening shortness of breath (5) | cough shortness of breath (5) | fatigue and shortness of breath (5) | chest pain and shortness of breath (5) | shortness of breath and cough (4) | shortness of breath leg swelling (3) | shortness of breath anemia (3) | abdominal pain shortness of breath (3) | shortness of breath lower extremity edema (3) | weakness shortness of breath (3) | fever cough shortness of breath (3) | shortness of breath chest discomfort (2),,,
chest pain,287,516,150,248,268,48.06201550387597,abdominal pain and chest pain | abdominal pain chest pain | abdominal pain chest pain nausea+vomiting | acute on chronic chest pain | altered mental status with chest pain | anemia and chest pain | arthralgia and chest pain | atypical chest pain | atypical chest pain abdominal pain | back pain and chest pain | bilateral foot pain and chest pain | bronchitis chest pain | chest pain | chest pain / pain with swallowing | chest pain abdominal pain | chest pain acute on chronic r sided weakness | chest pain after cabg/mv repair | chest pain and abdominal pain | chest pain and back pain | chest pain and blood in stools,chest pain (287) | shortness of breath chest pain (14) | chest pain shortness of breath (12) | chest pain dyspnea (8) | abdominal pain chest pain (6) | shortness of breath and chest pain (5) | atypical chest pain (5) | chest pain abdominal pain (5) | chest pain and shortness of breath (5) | chest pain cough (4) | cough chest pain (3) | chest pain and dyspnea (3) | dyspnea chest pain (3) | dyspnea and chest pain (3) | left chest pain (2) | chest pain headache (2) | fall chest pain (2) | pleuritic chest pain (2) | chest pain and back pain (2) | chest pain nausea (2),,,
altered mental status,283,443,112,228,215,51.46726862302483,- altered mental status hypoxia fever | admission post rfa c/b altered mental status | altered mental status | altered mental status - confusion | altered mental status / fall / hyperkalemia | altered mental status / hypoxia | altered mental status / urinary tract infection | altered mental status acute kidney injury | altered mental status acute kidney injury hyperkalemia | altered mental status and anemia | altered mental status and cough | altered mental status and dyspnea | altered mental status and fever | altered mental status and hypotension | altered mental status and respiratory distress | altered mental status and weakness | altered mental status bilateral lower extremity pain | altered mental status changes | altered mental status concern for seizure | altered mental status confusion,altered mental status (283) | fever altered mental status (13) | altered mental status fever (7) | hypoxia altered mental status (5) | fevers altered mental status (4) | altered mental status and fever (4) | altered mental status weakness (4) | altered mental status urinary tract infection (3) | altered mental status fevers (3) | dyspnea altered mental status (3) | cough and altered mental status (2) | altered mental status seizure (2) | altered mental status fall (2) | altered mental status found down (2) | altered mental status dyspnea (2) | hmed admission note cc altered mental status (2) | altered mental status respiratory distress (2) | altered mental status lethargy (2) | fever and altered mental status (2) | altered mental status hypoglycemia (2),,,
fever,81,342,176,160,182,46.783625730994146,- altered mental status hypoxia fever | abdominal pain and fever | abdominal pain fever | abdominal pain fever chills | abdominal pain hypotension fever | abdominal pain nausea vomiting diarrhea fever | abdominal pain with fever | abdonimal pain fever and diarrhea | admit with low grade fever nausea vomiting diarrhea | altered mental status and fever | altered mental status fever | altered mental status fever abdominal pain | altered mental status fever and fatigue | altered mental status low grade fever poor glucose control | anemia fever dyspnea | back pain and fever | back pain fever | back pain fever and fall | chest pain cough fever | chills fever dysuria,fever (81) | fever altered mental status (13) | fever cough (10) | abdominal pain fever (9) | altered mental status fever (7) | cough fever (6) | fever weakness (6) | altered mental status and fever (4) | fever nausea vomiting (4) | fever and hypotension (3) | fever abdominal pain (3) | dyspnea fever (3) | abdominal pain and fever (3) | fever vomiting (3) | fever cough shortness of breath (3) | fever tachycardia (3) | diarrhea fever (3) | fever tachypnea (2) | fever positive blood cultures (2) | shortness of breath fever (2),,,
fall,190,331,114,176,155,53.17220543806647,acute kidney injury mechanical fall | altered mental status / fall / hyperkalemia | altered mental status fall | altered mental status fall urinary incontinence | altered mental status status post fall | ataxia fall | back pain fall | back pain fever and fall | confusion and fall | confusion fall | cough altered mental status fall | cough fever fall | diarrhea fall | dizziness fall | eye pain fall | failure to thrive fall | failure to thrive weakness fall with rib fracture | fall | fall 2 days ago now w/ right chest pain t8-10 rib fracture | fall abdominal pain venous stasis ulcers,fall (190) | unwitnessed fall (5) | confusion fall (4) | mechanical fall (4) | fall vomiting (3) | dizziness fall (3) | fall confusion (3) | trauma fall (2) | weakness fall (2) | diarrhea fall (2) | fall chest pain (2) | fall at home (2) | pre-syncope and fall (2) | altered mental status fall (2) | fall shortness of breath (2) | syncopal fall (2) | fall vs seizure (2) | fall with head strike (2) | ataxia fall (2) | fall encephalopathy (1),,,
lower extremity,0,155,113,73,82,47.096774193548384,abdominal pain left lower extremity dvt | acute bilateral upper and lower extremity pain | acute on chronic lower extremity edema | altered mental status bilateral lower extremity pain | b/l lower extremity radiculopathy | back and lower extremity pain | back and lower extremity pain and difficulty walking | bilateral gangrenous wounds of lower extremity | bilateral lower extremity claudication | bilateral lower extremity edema with diabetic foot ulcers | bilateral lower extremity ischemia with ulceration | bilateral lower extremity pain | bilateral lower extremity swelling | cellulitis and worsening lower extremity edema | chest pain dyspnea lower extremity edema | difficulty ambulating / lower extremity weakness | difficulty ambulating with bilateral lower extremity edema | dyspnea and lower extremity edema | dyspnea lower extremity edema | dyspnea lower extremity edema weight gain,lower extremity swelling (13) | left lower extremity cellulitis (5) | right lower extremity pain (5) | lower extremity edema (4) | bilateral lower extremity swelling (3) | left lower extremity pain (3) | left lower extremity redness (3) | shortness of breath lower extremity edema (3) | bilateral lower extremity pain (3) | left lower extremity swelling (3) | bilateral lower extremity claudication (2) | left lower extremity ischemia with ulceration (2) | left lower extremity ulcer (2) | left lower extremity edema (2) | dyspnea lower extremity edema (2) | dyspnea on exertion lower extremity edema (2) | shortness of breath and lower extremity edema (2) | re-admission for worsening of right lower extremity degloving wound (1) | left lower extremity edema and pain (1) | dyspnea weight gain lower extremity edema orthopnea (1),,,
nausea vomiting,19,146,70,65,81,44.52054794520548,- nausea vomiting diarrhea myalgias | abdominal distention nausea vomiting | abdominal pain and nausea vomiting | abdominal pain nausea vomiting | abdominal pain nausea vomiting and diarrhea | abdominal pain nausea vomiting and diarrhea x1d | abdominal pain nausea vomiting diarrhea | abdominal pain nausea vomiting diarrhea fever | abdominal pain nausea vomiting malaise x3 days | abdominal pain nausea vomiting poor po intake x1 week | abdominal pain nausea vomiting x 3 days | admit with low grade fever nausea vomiting diarrhea | admitted with nausea vomiting diarrhea | altered mental status nausea vomiting | chest pain nausea vomiting diarrhea | chronic nausea vomiting poor po tolerance | dizziness influenza-like illness nausea vomiting | dysphagia nausea vomiting failure to thrive | earache headache neck stiffness nausea vomiting chest pain photophobia | elevated creatinine nausea vomiting,nausea vomiting abdominal pain (22) | nausea vomiting (19) | abdominal pain nausea vomiting (17) | nausea vomiting diarrhea (8) | fever nausea vomiting (4) | nausea vomiting diarrhea abdominal pain (4) | nausea vomiting and abdominal pain (3) | abdominal pain nausea vomiting diarrhea (3) | nausea vomiting malaise (2) | nausea vomiting fever (2) | nausea vomiting flank pain (2) | fever nausea vomiting diarrhea (2) | nausea vomiting concern for norovirus (1) | nausea vomiting abdominal/back pain (1) | elevated lfts nausea vomiting (1) | abdominal pain nausea vomiting and diarrhea x1d (1) | nausea vomiting inability to tolerate po (1) | nausea vomiting hematemesis vs hemoptysis (1) | nausea vomiting abdominal pain hematemesis (1) | - nausea vomiting diarrhea myalgias (1),,,
seizure,70,124,40,63,61,50.806451612903224,altered mental status concern for seizure | altered mental status seizure | breakthrough seizure | called by emergency department to evaluate increased seizure activity | concern for seizure | confusion concerning for seizure | confusion seizure | dizziness and orthostatic hypotension versus seizure | dysarthria x4 days right frontal hemorrhage seizure | episode concerning for seizure | event concerning for first time seizure | fall vs seizure | fall with head strike seizure | fever altered mental status possible seizure | fever and confusion possible seizure | first time seizure | generalized tonic-clonic seizure | generalized tonic-clonic seizure altered mental staatus | hemoptysis seizure | hypoglycemic induced seizure,seizure (70) | increased seizure frequency (6) | breakthrough seizure (5) | concern for seizure (4) | altered mental status seizure (2) | i had a seizure (2) | fall vs seizure (2) | event concerning for first time seizure (1) | seizure chest pain (1) | seizure characterization and localization (1) | fever altered mental status possible seizure (1) | increased seizure frequency and duration (1) | called by emergency department to evaluate increased seizure activity (1) | seizure like events (1) | seizure like activity (1) | fall with head strike seizure (1) | seizure cluster (1) | witnessed seizure / syncopal event (1) | dysarthria x4 days right frontal hemorrhage seizure (1) | seizure jaw fracture (1),,,
syncope,80,119,39,58,61,48.739495798319325,arrest vs syncope | aspiration event syncope | back pain and syncope | chest pain dyspnea syncope | chest pain near syncope | chest pain syncope | chest pain weakness syncope | diarrhea and syncope | diarrhea syncope | dr cc syncope | dyspnea chest pain syncope | dyspnea syncope | fall from toilet fell asleep vs syncope | hypokalemia/ syncope | malnutrition and syncope | near - syncope | recurrent syncope | syncope | syncope and chest pain | syncope and hypertensive urgency,syncope (80) | chest pain dyspnea syncope (2) | hypokalemia/ syncope (1) | chest pain syncope (1) | syncope unresponsive (1) | diarrhea and syncope (1) | syncope due to complete heart block (1) | syncope w/ headstrike (1) | dr cc syncope (1) | recurrent syncope (1) | syncope bright red blood per rectum (1) | weight gain syncope (1) | dyspnea syncope (1) | syncope i seem to have fainted (1) | near - syncope (1) | syncope and chest pain (1) | aspiration event syncope (1) | chest pain weakness syncope (1) | dyspnea chest pain syncope (1) | unexplained arrest vs syncope and hypoxemia (1),,,
